ID,CITY,PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,LATITUDE,LONGITUDE,LINK
3b23cc3c-5436-445c-9a7e-b3b9855f6e28,Quito,228000,4,4,3,440.0,-0.212441299999999,-78.3992351,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-en-tumbaco-148218180.html?n_src=Listado&n_pg=171&n_pos=17
6814c9c9-62b8-493a-a924-eb357fbfd2a3,Quito,120000,3,2,3,258.0,-0.291584919293,-78.4405362257,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-en-el-club-la-maison-alangasi-148287889.html?n_src=Listado&n_pg=171&n_pos=18
755a144f-3530-4da1-baad-eb9a83d7d317,Quito,122900,4,2,2,177.0,-0.295890736372772,-78.48528071614686,https://www.plusvalia.com/propiedades/clasificado/veclcain-de-venta-acogedora-casa-nueva-en-conocoto-sector-148291203.html?n_src=Listado&n_pg=171&n_pos=19
b415dd4f-1857-49ec-90ce-6294edefaece,Quito,750000,6,6,5,2290.0,-0.1711768,-78.4706287,https://www.plusvalia.com/propiedades/clasificado/veclcain-batan-alto-propiedad-rentera-o-para-desarrollo-de-148296947.html?n_src=Listado&n_pg=171&n_pos=20
47e31f0c-2e57-4417-a400-64a278f8b7f2,Quito,130000,3,2,2,187.0,-0.206899630129,-78.4453808947,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-en-venta-en-cumbaya-cerca-al-colegio-terranova-148223343.html?n_src=Listado&n_pg=171&n_pos=21
3d98c375-0f41-4e51-8e27-2e81820f1e5b,Quito,545000,4,5,4,956.0,-0.2169046,-78.4183676,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-lujo-en-urbanizacion-exclusiva-tumbaco-148224789.html?n_src=Listado&n_pg=171&n_pos=22
b01229d1-9fd4-4715-b740-57af0c2b7bc7,Quito,360000,3,4,4,310.0,-0.222557599999999,-78.4158646,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-ruta-viva-148226802.html?n_src=Listado&n_pg=171&n_pos=23
abed5535-29f7-42d6-9b4d-b64e977cf498,Quito,639149,4,4,3,327.0,-0.2087953,-78.4386438,https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-nueva-por-estrenar-en-cumbaya-excelente-148313984.html?n_src=Listado&n_pg=171&n_pos=24
60e86394-ef14-40de-b73a-833dcbba412b,Quito,47000,2,1,1,89.0,-0.082911015024799,-78.4355289884,https://www.plusvalia.com/propiedades/clasificado/veclcain-casa-de-venta-san-jose-de-moran-calderon-148308883.html?n_src=Listado&n_pg=171&n_pos=26
93ea70e8-f3f9-4e52-9cb2-7b716653fc22,Quito,425000,3,3,5,390.0,-0.194510199999999,-78.4791884,https://www.plusvalia.com/propiedades/clasificado/veclcain-vendo-casa-con-alto-potencial-en-el-corazon-de-quito-148207276.html?n_src=Listado&n_pg=171&n_pos=27
